,0
1/29/20,133
1/30/20,171
1/31/20,213
2/1/20,259
2/2/20,362
2/3/20,426
2/4/20,492
2/5/20,564
2/6/20,634
2/7/20,719
2/8/20,806
2/9/20,906
2/10/20,1013
2/11/20,1113
2/12/20,1118
2/13/20,1371
2/14/20,1523
2/15/20,1666
2/16/20,1770
2/17/20,1868
2/18/20,2008
2/19/20,2123
2/20/20,2248
2/21/20,2252
2/22/20,2459
2/23/20,2470
2/24/20,2630
2/25/20,2710
2/26/20,2771
2/27/20,2814
2/28/20,2873
2/29/20,2942
3/1/20,2996
3/2/20,3085
3/3/20,3160
3/4/20,3255
3/5/20,3348
3/6/20,3460
3/7/20,3559
3/8/20,3803
3/9/20,3987
3/10/20,4267
3/11/20,4611
3/12/20,4917
3/13/20,5414
3/14/20,5834
3/15/20,6475
3/16/20,7153
3/17/20,7964
3/18/20,8867
3/19/20,9981
3/20/20,11460
3/21/20,13181
3/22/20,14855
3/23/20,16798
3/24/20,19080
3/25/20,21878
3/26/20,24894
3/27/20,28389
3/28/20,32102
3/29/20,35572
3/30/20,39620
3/31/20,44368
4/1/20,49864
4/2/20,56101
4/3/20,62202
4/4/20,68355
4/5/20,73537
4/6/20,79478
4/7/20,87709
4/8/20,94461
4/9/20,102234
4/10/20,109626
4/11/20,115861
4/12/20,121671
4/13/20,127587
4/14/20,134564
4/15/20,142915
4/16/20,150218
4/17/20,158585
4/18/20,164598
4/19/20,169859
4/20/20,175723
4/21/20,182914
4/22/20,189641
4/23/20,196485
4/24/20,203142
4/25/20,208774
4/26/20,212708
4/27/20,217382
4/28/20,223929
4/29/20,230657
4/30/20,236657
5/1/20,241807
5/2/20,247285
5/3/20,250750
5/4/20,254843
5/5/20,260735
5/6/20,267283
5/7/20,272579
5/8/20,278054
5/9/20,282349
5/10/20,285932
5/11/20,289404
5/12/20,294925
5/13/20,299999
5/14/20,305183
5/15/20,310305
5/16/20,314483
5/17/20,317761
5/18/20,321454
5/19/20,326174
5/20/20,330936
5/21/20,335657
5/22/20,340851
5/23/20,344764
5/24/20,347881
5/25/20,349073
5/26/20,353180
5/27/20,358326
5/28/20,362944
5/29/20,367536
5/30/20,371610
5/31/20,374585
6/1/20,377659
6/2/20,382389
6/3/20,387828
6/4/20,392948
6/5/20,397506
6/6/20,401365
6/7/20,404106
6/8/20,407780
6/9/20,412626
6/10/20,417683
6/11/20,422371
6/12/20,426584
6/13/20,430772
6/14/20,434179
6/15/20,437591
6/16/20,444312
6/17/20,449403
6/18/20,454386
6/19/20,460545
6/20/20,464760
6/21/20,468761
6/22/20,472316
6/23/20,477540
6/24/20,482712
6/25/20,487411
6/26/20,492109
6/27/20,496574
6/28/20,499712
6/29/20,503435
6/30/20,508391
7/1/20,513315
7/2/20,518382
7/3/20,523317
7/4/20,527681
7/5/20,531153
7/6/20,534974
7/7/20,540995
7/8/20,546266
7/9/20,551676
7/10/20,556969
7/11/20,561761
7/12/20,565751
7/13/20,569556
7/14/20,575150
7/15/20,580582
7/16/20,586332
7/17/20,592988
7/18/20,598610
7/19/20,602662
7/20/20,606829
7/21/20,612998
7/22/20,619920
7/23/20,629817
7/24/20,635852
7/25/20,641398
7/26/20,645058
7/27/20,650233
7/28/20,656545
7/29/20,663118
7/30/20,669124
7/31/20,675341
8/1/20,680833
8/2/20,685100
8/3/20,689412
8/4/20,696332
8/5/20,703298
8/6/20,709793
8/7/20,716095
8/8/20,721523
8/9/20,726075
8/10/20,730983
8/11/20,737413
8/12/20,744030
8/13/20,750246
8/14/20,760370
8/15/20,765721
8/16/20,769920
8/17/20,774060
8/18/20,780938
8/19/20,787694
8/20/20,793732
8/21/20,799224
8/22/20,804804
8/23/20,808656
8/24/20,813014
8/25/20,819396
8/26/20,825684
8/27/20,831576
8/28/20,837091
8/29/20,842472
8/30/20,846381
8/31/20,850591
9/1/20,857077
9/2/20,863095
9/3/20,868805
9/4/20,874714
9/5/20,879659
9/6/20,883428
9/7/20,892740
9/8/20,897679
9/9/20,903766
9/10/20,909574
9/11/20,915454
9/12/20,920332
9/13/20,923981
9/14/20,928415
9/15/20,934967
9/16/20,940724
9/17/20,946183
9/18/20,951892
9/19/20,957127
9/20/20,960823
9/21/20,964942
9/22/20,970822
9/23/20,976432
9/24/20,983147
9/25/20,989050
9/26/20,994331
9/27/20,997934
9/28/20,1001855
9/29/20,1007953
9/30/20,1014365
10/1/20,1023067
10/2/20,1028035
10/3/20,1033393
10/4/20,1037163
10/5/20,1044174
10/6/20,1049961
10/7/20,1055774
10/8/20,1062025
10/9/20,1068112
10/10/20,1072937
10/11/20,1076833
10/12/20,1080762
10/13/20,1086226
10/14/20,1092229
10/15/20,1098337
10/16/20,1104446
10/17/20,1109928
10/18/20,1113275
10/19/20,1118262
10/20/20,1124854
10/21/20,1131420
10/22/20,1137305
10/23/20,1144222
10/24/20,1149898
10/25/20,1154004
10/26/20,1159627
10/27/20,1167058
10/28/20,1174134
10/29/20,1181201
10/30/20,1188724
10/31/20,1195288
11/1/20,1200203
11/2/20,1206280
11/3/20,1214295
11/4/20,1225326
11/5/20,1233400
11/6/20,1242963
11/7/20,1250537
11/8/20,1256275
11/9/20,1263094
