,0
1/29/20,6167
1/30/20,8235
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30803
2/7/20,34396
2/8/20,37130
2/9/20,40160
2/10/20,42769
2/11/20,44811
2/12/20,45229
2/13/20,60382
2/14/20,66909
2/15/20,69051
2/16/20,71235
2/17/20,73270
2/18/20,75152
2/19/20,75652
2/20/20,76212
2/21/20,76841
2/22/20,78602
2/23/20,78982
2/24/20,79546
2/25/20,80399
2/26/20,81376
2/27/20,82736
2/28/20,84121
2/29/20,86014
3/1/20,88397
3/2/20,90375
3/3/20,92959
3/4/20,95276
3/5/20,98040
3/6/20,102040
3/7/20,106102
3/8/20,110062
3/9/20,114025
3/10/20,119036
3/11/20,126717
3/12/20,132506
3/13/20,146887
3/14/20,157965
3/15/20,169258
3/16/20,184002
3/17/20,199933
3/18/20,219466
3/19/20,246622
3/20/20,277257
3/21/20,309226
3/22/20,343464
3/23/20,386832
3/24/20,428304
3/25/20,479288
3/26/20,542014
3/27/20,607005
3/28/20,674387
3/29/20,733786
3/30/20,799023
3/31/20,875852
4/1/20,952378
4/2/20,1033709
4/3/20,1116962
4/4/20,1197316
4/5/20,1269293
4/6/20,1342527
4/7/20,1420267
4/8/20,1504298
4/9/20,1590779
4/10/20,1678319
4/11/20,1754535
4/12/20,1849888
4/13/20,1920033
4/14/20,1991379
4/15/20,2073252
4/16/20,2170173
4/17/20,2257986
4/18/20,2331380
4/19/20,2411352
4/20/20,2485855
4/21/20,2561734
4/22/20,2639753
4/23/20,2727810
4/24/20,2812183
4/25/20,2895430
4/26/20,2967570
4/27/20,3037260
4/28/20,3112744
4/29/20,3190206
4/30/20,3273554
5/1/20,3360744
5/2/20,3440791
5/3/20,3517314
5/4/20,3594392
5/5/20,3674847
5/6/20,3764761
5/7/20,3853781
5/8/20,3944952
5/9/20,4029875
5/10/20,4105071
5/11/20,4181946
5/12/20,4266204
5/13/20,4351024
5/14/20,4447706
5/15/20,4544030
5/16/20,4638236
5/17/20,4715641
5/18/20,4804359
5/19/20,4901497
5/20/20,5004250
5/21/20,5110815
5/22/20,5216798
5/23/20,5321424
5/24/20,5415901
5/25/20,5502250
5/26/20,5595501
5/27/20,5698506
5/28/20,5818020
5/29/20,5938915
5/30/20,6075869
5/31/20,6182468
6/1/20,6277971
6/2/20,6399352
6/3/20,6517447
6/4/20,6644274
6/5/20,6775073
6/6/20,6909702
6/7/20,7021606
6/8/20,7124085
6/9/20,7248720
6/10/20,7383167
6/11/20,7521337
6/12/20,7649809
6/13/20,7785133
6/14/20,7917785
6/15/20,8037530
6/16/20,8179373
6/17/20,8321890
6/18/20,8462195
6/19/20,8642028
6/20/20,8799120
6/21/20,8927408
6/22/20,9065315
6/23/20,9230605
6/24/20,9401467
6/25/20,9579792
6/26/20,9771190
6/27/20,9949650
6/28/20,10111445
6/29/20,10267631
6/30/20,10441739
7/1/20,10658951
7/2/20,10867065
7/3/20,11069750
7/4/20,11263591
7/5/20,11446487
7/6/20,11611692
7/7/20,11822619
7/8/20,12035018
7/9/20,12263083
7/10/20,12495240
7/11/20,12711512
7/12/20,12904017
7/13/20,13096205
7/14/20,13317524
7/15/20,13548634
7/16/20,13801199
7/17/20,14043071
7/18/20,14279827
7/19/20,14493749
7/20/20,14700303
7/21/20,14933710
7/22/20,15214538
7/23/20,15497459
7/24/20,15777780
7/25/20,16033181
7/26/20,16245990
7/27/20,16472188
7/28/20,16724421
7/29/20,17014028
7/30/20,17294158
7/31/20,17584349
8/1/20,17834465
8/2/20,18062665
8/3/20,18264102
8/4/20,18522551
8/5/20,18794790
8/6/20,19079535
8/7/20,19360274
8/8/20,19619325
8/9/20,19842617
8/10/20,20069642
8/11/20,20324450
8/12/20,20602423
8/13/20,20888374
8/14/20,21192603
8/15/20,21440241
8/16/20,21652169
8/17/20,21861938
8/18/20,22118012
8/19/20,22392471
8/20/20,22659722
8/21/20,22929317
8/22/20,23194351
8/23/20,23399855
8/24/20,23625991
8/25/20,23867949
8/26/20,24156945
8/27/20,24436019
8/28/20,24717349
8/29/20,24978045
8/30/20,25204387
8/31/20,25466819
9/1/20,25731008
9/2/20,26013577
9/3/20,26294433
9/4/20,26607267
9/5/20,26870493
9/6/20,27092621
9/7/20,27326009
9/8/20,27567385
9/9/20,27851771
9/10/20,28150752
9/11/20,28470476
9/12/20,28747483
9/13/20,28983563
9/14/20,29263157
9/15/20,29546839
9/16/20,29851706
9/17/20,30165292
9/18/20,30488434
9/19/20,30768990
9/20/20,31011431
9/21/20,31309807
9/22/20,31589705
9/23/20,31856252
9/24/20,32217516
9/25/20,32546804
9/26/20,32823854
9/27/20,33065023
9/28/20,33340906
9/29/20,33624955
9/30/20,33951475
10/1/20,34269457
10/2/20,34563882
10/3/20,34883353
10/4/20,35132049
10/5/20,35461165
10/6/20,35785040
10/7/20,36133762
10/8/20,36494226
10/9/20,36853897
10/10/20,37184302
10/11/20,37454056
10/12/20,37779175
10/13/20,38108179
10/14/20,38487671
10/15/20,38894942
10/16/20,39305385
10/17/20,39646627
10/18/20,39932565
10/19/20,40380651
10/20/20,40769173
10/21/20,41212178
10/22/20,41681823
10/23/20,42178577
10/24/20,42591410
10/25/20,42944888
10/26/20,43481951
10/27/20,43950859
10/28/20,44459148
10/29/20,45009936
10/30/20,45579162
10/31/20,46055492
11/1/20,46489627
11/2/20,46996484
11/3/20,47510027
11/4/20,48107013
11/5/20,48716307
11/6/20,49341371
11/7/20,49852945
11/8/20,50426803
11/9/20,50913976
